# iteration cms_x cms_y cms_z cms_vy cms_vy cms_vz mass kinetic_energy
   55 -3.015844225883483886719e-01 -4.099859595298767089844e-01 +4.111707508563995361328e-01 -5.632968544960021972656e-01 -1.010365247726440429688e+00 +3.158611953258514404297e-01 1.533862304687500000000e+04 1.158016773040692135692e+07
   56 -3.297684192657470703125e-01 -4.604966342449188232422e-01 +4.269602298736572265625e-01 -5.712177157402038574219e-01 -9.641550183296203613281e-01 +2.345545738935470581055e-01 1.533863964843750000000e+04 1.113056671392582356930e+07
   57 -3.583641648292541503906e-01 -5.087090134620666503906e-01 +4.386860728263854980469e-01 -5.679165124893188476562e-01 -9.110901951789855957031e-01 +1.593881845474243164062e-01 1.533867968750000000000e+04 1.057269212415439076722e+07
   58 -3.867750763893127441406e-01 -5.542687773704528808594e-01 +4.466538131237030029297e-01 -5.528645515441894531250e-01 -8.507710695266723632812e-01 +9.170447289943695068359e-02 1.533865527343750000000e+04 9.914405794121075421572e+06
   59 -4.144358038902282714844e-01 -5.968025326728820800781e-01 +4.512279033660888671875e-01 -5.292654633522033691406e-01 -7.871266603469848632812e-01 +2.815738692879676818848e-02 1.533866210937500000000e+04 9.171954015523623675108e+06
   60 -4.409112036228179931641e-01 -6.361458301544189453125e-01 +4.526215791702270507812e-01 -4.983367323875427246094e-01 -7.241378426551818847656e-01 -2.861972898244857788086e-02 1.533865820312500000000e+04 8.374228447501812130213e+06
   61 -4.658913612365722656250e-01 -6.723741888999938964844e-01 +4.511558115482330322266e-01 -4.570787549018859863281e-01 -6.637151837348937988281e-01 -7.736921310424804687500e-02 1.533866015625000000000e+04 7.554988040259895846248e+06
   62 -4.887691438198089599609e-01 -7.055955529212951660156e-01 +4.471758306026458740234e-01 -4.083069264888763427734e-01 -6.075795292854309082031e-01 -1.196293160319328308105e-01 1.533866210937500000000e+04 6.751885780769330449402e+06
   63 -5.090700984001159667969e-01 -7.359968423843383789062e-01 +4.411222934722900390625e-01 -3.531539440155029296875e-01 -5.549746155738830566406e-01 -1.511091440916061401367e-01 1.533869726562500000000e+04 5.997031540410657413304e+06
   64 -5.265708565711975097656e-01 -7.637327313423156738281e-01 +4.333546459674835205078e-01 -2.964093685150146484375e-01 -5.021671056747436523438e-01 -1.789387166500091552734e-01 1.533864062500000000000e+04 5.313288794474850408733e+06
   65 -5.412782430648803710938e-01 -7.889199256896972656250e-01 +4.244200289249420166016e-01 -2.397515922784805297852e-01 -4.604307115077972412109e-01 -1.882351338863372802734e-01 1.533861425781250000000e+04 4.716181676024005748332e+06
   66 -5.532587766647338867188e-01 -8.119666576385498046875e-01 +4.147093892097473144531e-01 -1.684719175100326538086e-01 -4.262187182903289794922e-01 -2.020241618156433105469e-01 1.533869921875000000000e+04 4.203309925680316053331e+06
   67 -5.616394877433776855469e-01 -8.329123258590698242188e-01 +4.040550291538238525391e-01 -1.025365963578224182129e-01 -3.998494744300842285156e-01 -1.997262686491012573242e-01 1.533868554687500000000e+04 3.759702187899380456656e+06
   68 -5.670619010925292968750e-01 -8.525404930114746093750e-01 +3.947724699974060058594e-01 -3.123114258050918579102e-02 -3.763597607612609863281e-01 -1.810724884271621704102e-01 1.534088671875000000000e+04 3.374332299674827605486e+06
   69 -5.683104395866394042969e-01 -8.713980913162231445312e-01 +3.852526545524597167969e-01 +3.164275363087654113770e-02 -3.448105752468109130859e-01 -1.431032419204711914062e-01 1.534090332031250000000e+04 3.024112858587144408375e+06
   70 -5.668326616287231445312e-01 -8.904418945312500000000e-01 +3.758639395236968994141e-01 +9.175834059715270996094e-02 -3.187357485294342041016e-01 -1.274052262306213378906e-01 1.535233398437500000000e+04 2.705835553953818511218e+06
   71 -5.625039935111999511719e-01 -9.067851305007934570312e-01 +3.691928088665008544922e-01 +1.656482070684432983398e-01 -3.026438951492309570312e-01 -8.167878538370132446289e-02 1.535230761718750000000e+04 2.409344332253726199269e+06
   72 -5.541170239448547363281e-01 -9.218348860740661621094e-01 +3.649920821189880371094e-01 +2.323853522539138793945e-01 -2.793101668357849121094e-01 -2.699483372271060943604e-02 1.535234667968750000000e+04 2.134370015898695215583e+06
   73 -5.426446795463562011719e-01 -9.356083273887634277344e-01 +3.633205294609069824219e-01 +2.949558198451995849609e-01 -2.701843380928039550781e-01 +3.084816411137580871582e-02 1.535233691406250000000e+04 1.888476824651446193457e+06
   74 -5.280973911285400390625e-01 -9.493756294250488281250e-01 +3.649697899818420410156e-01 +3.517108559608459472656e-01 -2.633325755596160888672e-01 +1.019948348402976989746e-01 1.535231738281250000000e+04 1.670179317931118654087e+06
   75 -5.099681615829467773438e-01 -9.622797966003417968750e-01 +3.697588145732879638672e-01 +4.032017290592193603516e-01 -2.613435685634613037109e-01 +1.834893226623535156250e-01 1.535232031250000000000e+04 1.483938968267331132665e+06
   76 -4.893963038921356201172e-01 -9.752961993217468261719e-01 +3.792634308338165283203e-01 +4.510322511196136474609e-01 -2.619009315967559814453e-01 +2.688118815422058105469e-01 1.535230664062500000000e+04 1.327578574592499993742e+06
   77 -4.666656553745269775391e-01 -9.888069629669189453125e-01 +3.927699029445648193359e-01 +4.931814074516296386719e-01 -2.676555514335632324219e-01 +3.535609245300292968750e-01 1.535231542968750000000e+04 1.200807999216711847112e+06
   78 -4.419523179531097412109e-01 -1.002700805664062500000e+00 +4.102357625961303710938e-01 +5.300662517547607421875e-01 -2.725051343441009521484e-01 +4.276876151561737060547e-01 1.535235156250000000000e+04 1.100502316910842200741e+06
   79 -4.158566296100616455078e-01 -1.016141891479492187500e+00 +4.318401515483856201172e-01 +5.729864835739135742188e-01 -2.776914238929748535156e-01 +5.093302130699157714844e-01 1.535232324218750000000e+04 1.022851836633181199431e+06
   80 -3.869387507438659667969e-01 -1.030327916145324707031e+00 +4.572885334491729736328e-01 +6.146124005317687988281e-01 -2.815658152103424072266e-01 +5.839493870735168457031e-01 1.535231250000000000000e+04 9.658731798236083704978e+05
   81 -3.563810884952545166016e-01 -1.044090270996093750000e+00 +4.867861270904541015625e-01 +6.498874425888061523438e-01 -2.901068031787872314453e-01 +6.373738646507263183594e-01 1.535230859375000000000e+04 9.254629367887836415321e+05
   82 -3.236899077892303466797e-01 -1.058965206146240234375e+00 +5.182923674583435058594e-01 +6.928104758262634277344e-01 -3.007678389549255371094e-01 +6.898320317268371582031e-01 1.535230664062500000000e+04 8.986615233726826263592e+05
   83 -2.888843715190887451172e-01 -1.074340701103210449219e+00 +5.529281497001647949219e-01 +7.261033058166503906250e-01 -3.209233283996582031250e-01 +7.226368784904479980469e-01 1.535228613281250000000e+04 8.761978372608631616458e+05
   84 -2.524681091308593750000e-01 -1.090515851974487304688e+00 +5.885408520698547363281e-01 +7.531846165657043457031e-01 -3.449420332908630371094e-01 +7.474091649055480957031e-01 1.535231347656250000000e+04 8.592042452145011629909e+05
   85 -2.154516726732254028320e-01 -1.107811570167541503906e+00 +6.262484788894653320312e-01 +7.774842977523803710938e-01 -3.609997034072875976562e-01 +7.594030499458312988281e-01 1.535230664062500000000e+04 8.424861411640578880906e+05
   86 -1.769583225250244140625e-01 -1.126852393150329589844e+00 +6.637003421783447265625e-01 +7.720412611961364746094e-01 -3.747988939285278320312e-01 +7.406122088432312011719e-01 1.535233105468750000000e+04 8.177693079490006202832e+05
   87 -1.356631219387054443359e-01 -1.141043901443481445312e+00 +7.007364034652709960938e-01 +7.672631740570068359375e-01 -3.872237503528594970703e-01 +7.135451436042785644531e-01 1.535646972656250000000e+04 7.903337458696597022936e+05
   88 -9.731218218803405761719e-02 -1.160774469375610351562e+00 +7.364205121994018554688e-01 +7.818425893783569335938e-01 -3.668465912342071533203e-01 +6.900677084922790527344e-01 1.535645800781250000000e+04 7.539761263352244859561e+05
   89 -5.885960161685943603516e-02 -1.179014682769775390625e+00 +7.708049416542053222656e-01 +7.914767861366271972656e-01 -3.564838767051696777344e-01 +6.543532013893127441406e-01 1.535649414062500000000e+04 7.128325748905362561345e+05
   90 -1.950909756124019622803e-02 -1.197255969047546386719e+00 +8.037226796150207519531e-01 +7.904223799705505371094e-01 -3.404622375965118408203e-01 +6.191300749778747558594e-01 1.535649707031250000000e+04 6.678948797278536949307e+05
   91 +1.915727742016315460205e-02 -1.214457988739013671875e+00 +8.343107700347900390625e-01 +7.846928238868713378906e-01 -3.270735144615173339844e-01 +5.804865360260009765625e-01 1.535645019531250000000e+04 6.209344514539128867909e+05
   92 +5.752192810177803039551e-02 -1.231042742729187011719e+00 +8.628809452056884765625e-01 +7.736446261405944824219e-01 -2.988928556442260742188e-01 +5.474961996078491210938e-01 1.535644335937500000000e+04 5.764740248489625519142e+05
   93 +9.647239744663238525391e-02 -1.246607184410095214844e+00 +8.898611664772033691406e-01 +7.605271339416503906250e-01 -2.722540795803070068359e-01 +5.080249905586242675781e-01 1.535691113281250000000e+04 5.322845673881138209254e+05
   94 +1.345699131488800048828e-01 -1.260262727737426757812e+00 +9.150806069374084472656e-01 +7.523351907730102539062e-01 -2.527121305465698242188e-01 +4.667221605777740478516e-01 1.535688378906250000000e+04 4.927544710941285011359e+05
   95 +1.745183169841766357422e-01 -1.275546193122863769531e+00 +9.374510049819946289062e-01 +7.199987173080444335938e-01 -2.321866303682327270508e-01 +4.183088541030883789062e-01 1.537868945312500000000e+04 4.586155135835870751180e+05
   96 +2.108093798160552978516e-01 -1.287181496620178222656e+00 +9.583864212036132812500e-01 +7.167491316795349121094e-01 -2.030923217535018920898e-01 +3.682633042335510253906e-01 1.537872851562500000000e+04 4.337665809233801555820e+05
   97 +2.486277371644973754883e-01 -1.296620249748229980469e+00 +9.805402159690856933594e-01 +7.259623408317565917969e-01 -1.866692155599594116211e-01 +2.960537970066070556641e-01 1.539185742187500000000e+04 4.125832581107307923958e+05
   98 +2.865538895130157470703e-01 -1.305668234825134277344e+00 +9.961617588996887207031e-01 +7.129646539688110351562e-01 -1.661669760942459106445e-01 +2.326962053775787353516e-01 1.539326953125000000000e+04 3.967857994214092614129e+05
   99 +3.220629394054412841797e-01 -1.316665887832641601562e+00 +1.007646679878234863281e+00 +7.063261866569519042969e-01 -1.397053748369216918945e-01 +1.824563294649124145508e-01 1.539886425781250000000e+04 3.779287947941341553815e+05
  100 +3.601315319538116455078e-01 -1.324183106422424316406e+00 +1.013815283775329589844e+00 +6.889751553535461425781e-01 -1.160498932003974914551e-01 +1.347867101430892944336e-01 1.540666796875000000000e+04 3.638232402021239977330e+05
  101 +3.963734805583953857422e-01 -1.330645680427551269531e+00 +1.021404862403869628906e+00 +6.864702701568603515625e-01 -7.612960785627365112305e-02 +5.698455870151519775391e-02 1.540969628906250000000e+04 3.475616672608264489099e+05
  102 +4.308617413043975830078e-01 -1.334356546401977539062e+00 +1.023692011833190917969e+00 +6.781302690505981445312e-01 -3.186713904142379760742e-02 -1.045724097639322280884e-02 1.540973339843750000000e+04 3.325430202741250395775e+05
  103 +4.678719341754913330078e-01 -1.335836648941040039062e+00 +1.020188450813293457031e+00 +6.614542603492736816406e-01 +2.444576844573020935059e-02 -6.047483161091804504395e-02 1.541454785156250000000e+04 3.148557690172214643098e+05
  104 +5.029294490814208984375e-01 -1.334425687789916992188e+00 +1.019139051437377929688e+00 +6.402115225791931152344e-01 +7.091394066810607910156e-02 -1.067354679107666015625e-01 1.541661621093750000000e+04 2.987186683016123715788e+05
  105 +5.343406796455383300781e-01 -1.330869078636169433594e+00 +1.013516426086425781250e+00 +6.125593185424804687500e-01 +1.099844723939895629883e-01 -1.448156535625457763672e-01 1.541661816406250000000e+04 2.815813593792957835831e+05
  106 +5.652014017105102539062e-01 -1.324954032897949218750e+00 +1.006614804267883300781e+00 +5.891088843345642089844e-01 +1.394040286540985107422e-01 -1.681513786315917968750e-01 1.541660742187500000000e+04 2.642989867240185849369e+05
  107 +5.949321985244750976562e-01 -1.317978739738464355469e+00 +9.978292584419250488281e-01 +5.656073093414306640625e-01 +1.632577627897262573242e-01 -1.850388050079345703125e-01 1.541660839843750000000e+04 2.486080656557128531858e+05
  108 +6.231876015663146972656e-01 -1.309663772583007812500e+00 +9.862149357795715332031e-01 +5.380808115005493164062e-01 +1.847365051507949829102e-01 -2.042372822761535644531e-01 1.541963476562500000000e+04 2.351044522355195367709e+05
  109 +6.494501829147338867188e-01 -1.300097107887268066406e+00 +9.759529829025268554688e-01 +5.098532438278198242188e-01 +1.965349167585372924805e-01 -2.179033905267715454102e-01 1.541961718750000000000e+04 2.226958497821346682031e+05
  110 +6.744475364685058593750e-01 -1.290619015693664550781e+00 +9.659793376922607421875e-01 +4.855751097202301025391e-01 +2.041247189044952392578e-01 -2.276890277862548828125e-01 1.541955761718750000000e+04 2.123739033701417210978e+05
  111 +6.984575986862182617188e-01 -1.280737280845642089844e+00 +9.542281627655029296875e-01 +4.629414081573486328125e-01 +2.087199836969375610352e-01 -2.342015504837036132812e-01 1.541957617187500000000e+04 2.040762536790181766264e+05
  112 +7.214985489845275878906e-01 -1.270802140235900878906e+00 +9.429059028625488281250e-01 +4.368076622486114501953e-01 +2.113588750362396240234e-01 -2.393826842308044433594e-01 1.541956347656250000000e+04 1.964764995609561447054e+05
  113 +7.431844472885131835938e-01 -1.259893774986267089844e+00 +9.304531812667846679688e-01 +4.156916141510009765625e-01 +2.107385247945785522461e-01 -2.469874024391174316406e-01 1.541957714843750000000e+04 1.896619840329274593387e+05
  114 +7.638589739799499511719e-01 -1.249231100082397460938e+00 +9.178405404090881347656e-01 +3.944965600967407226562e-01 +2.119577825069427490234e-01 -2.588173449039459228516e-01 1.541959179687500000000e+04 1.835408132893304864410e+05
  115 +7.832025885581970214844e-01 -1.238409399986267089844e+00 +9.046113491058349609375e-01 +3.738376498222351074219e-01 +2.106928527355194091797e-01 -2.703877091407775878906e-01 1.541959667968750000000e+04 1.773297889352726051584e+05
  116 +8.019785284996032714844e-01 -1.229244112968444824219e+00 +8.884032368659973144531e-01 +3.556478917598724365234e-01 +2.110192030668258666992e-01 -2.803487777709960937500e-01 1.542351562500000000000e+04 1.705980177726701949723e+05
  117 +8.195737600326538085938e-01 -1.218417406082153320312e+00 +8.745220303535461425781e-01 +3.367704749107360839844e-01 +2.100233733654022216797e-01 -2.960795164108276367188e-01 1.542348828125000000000e+04 1.634642161796752188820e+05
  118 +8.366937637329101562500e-01 -1.207331061363220214844e+00 +8.603385090827941894531e-01 +3.218877613544464111328e-01 +2.037389576435089111328e-01 -3.109218776226043701172e-01 1.542347949218750000000e+04 1.559669675402126158588e+05
  119 +8.528602719306945800781e-01 -1.196426987648010253906e+00 +8.444216847419738769531e-01 +3.049571216106414794922e-01 +2.002854347229003906250e-01 -3.191945850849151611328e-01 1.542348925781250000000e+04 1.479033715732136333827e+05
  120 +8.677988648414611816406e-01 -1.186566710472106933594e+00 +8.283472061157226562500e-01 +2.912914752960205078125e-01 +1.949524134397506713867e-01 -3.267033696174621582031e-01 1.542345019531250000000e+04 1.400861692058053449728e+05
  121 +8.825324177742004394531e-01 -1.176409244537353515625e+00 +8.127133846282958984375e-01 +2.691093087196350097656e-01 +1.937841325998306274414e-01 -3.328661620616912841797e-01 1.542348535156250000000e+04 1.323193484945690433960e+05
  122 +8.956843018531799316406e-01 -1.167199254035949707031e+00 +7.962657213211059570312e-01 +2.520250380039215087891e-01 +1.880770921707153320312e-01 -3.368949294090270996094e-01 1.542347363281250000000e+04 1.247787367413486790610e+05
