# iteration model.count model.time model.count_total model.time_total image.count image.time image.count_total image.time_total
 53  1 5.536881e+00 54 2.455616e+02  1 3.063591e-01 54 2.514734e+01 
 54  1 5.498490e+00 55 2.510600e+02  1 3.138289e-01 55 2.546117e+01 
 55  1 5.523374e+00 56 2.565834e+02  1 2.874081e-01 56 2.574858e+01 
 56  1 5.574480e+00 57 2.621579e+02  1 2.745800e-01 57 2.602316e+01 
 57  1 5.435065e+00 58 2.675930e+02  1 2.992010e-01 58 2.632236e+01 
 58  1 5.579121e+00 59 2.731721e+02  1 2.703788e-01 59 2.659274e+01 
 59  1 5.214679e+00 60 2.783868e+02  1 2.677670e-01 60 2.686051e+01 
 60  1 5.322301e+00 61 2.837091e+02  1 2.844338e-01 61 2.714494e+01 
 61  1 5.226793e+00 62 2.889359e+02  1 2.549171e-01 62 2.739986e+01 
 62  1 5.254629e+00 63 2.941905e+02  1 2.520659e-01 63 2.765192e+01 
 63  1 5.277906e+00 64 2.994684e+02  1 2.947791e-01 64 2.794670e+01 
 64  1 5.312605e+00 65 3.047810e+02  1 2.335420e-01 65 2.818024e+01 
 65  1 5.262851e+00 66 3.100438e+02  1 2.277431e-01 66 2.840799e+01 
 66  1 5.347186e+00 67 3.153910e+02  1 2.272198e-01 67 2.863521e+01 
 67  1 5.205945e+00 68 3.205970e+02  1 2.261732e-01 68 2.886138e+01 
 68  1 5.381006e+00 69 3.259780e+02  1 2.512770e-01 69 2.911266e+01 
 69  1 5.307862e+00 70 3.312858e+02  1 2.446818e-01 70 2.935734e+01 
 70  1 5.444540e+00 71 3.367304e+02  1 2.279019e-01 71 2.958524e+01 
 71  1 5.098923e+00 72 3.418293e+02  1 2.465582e-01 72 2.983180e+01 
 72  1 5.221649e+00 73 3.470510e+02  1 2.288749e-01 73 3.006067e+01 
 73  1 5.442936e+00 74 3.524939e+02  1 2.278130e-01 74 3.028849e+01 
 74  1 5.470837e+00 75 3.579647e+02  1 2.276409e-01 75 3.051613e+01 
 75  1 5.370650e+00 76 3.633354e+02  1 2.362010e-01 76 3.075233e+01 
 76  1 5.251511e+00 77 3.685869e+02  1 2.829242e-01 77 3.103525e+01 
 77  1 5.398168e+00 78 3.739851e+02  1 2.728150e-01 78 3.130807e+01 
 78  1 5.601523e+00 79 3.795866e+02  1 2.385960e-01 79 3.154666e+01 
 79  1 5.381230e+00 80 3.849678e+02  1 2.467260e-01 80 3.179339e+01 
 80  1 5.331565e+00 81 3.902994e+02  1 2.642891e-01 81 3.205768e+01 
 81  1 5.480247e+00 82 3.957796e+02  1 2.371359e-01 82 3.229482e+01 
 82  1 5.448667e+00 83 4.012283e+02  1 2.518680e-01 83 3.254668e+01 
 83  1 5.337683e+00 84 4.065660e+02  1 2.472329e-01 84 3.279392e+01 
 84  1 5.511798e+00 85 4.120778e+02  1 2.654872e-01 85 3.305940e+01 
 85  1 5.408398e+00 86 4.174862e+02  1 3.107591e-01 86 3.337016e+01 
 86  1 5.356579e+00 87 4.228428e+02  1 2.298610e-01 87 3.360002e+01 
 87  1 5.526217e+00 88 4.283690e+02  1 2.279279e-01 88 3.382795e+01 
 88  1 5.462251e+00 89 4.338312e+02  1 2.978182e-01 89 3.412577e+01 
 89  1 5.431079e+00 90 4.392623e+02  1 2.642629e-01 90 3.439003e+01 
 90  1 5.496982e+00 91 4.447593e+02  1 2.540908e-01 91 3.464412e+01 
 91  1 5.704503e+00 92 4.504638e+02  1 2.885778e-01 92 3.493270e+01 
 92  1 5.555755e+00 93 4.560195e+02  1 2.437100e-01 93 3.517641e+01 
 93  1 5.464046e+00 94 4.614836e+02  1 2.465270e-01 94 3.542294e+01 
 94  1 5.519845e+00 95 4.670034e+02  1 2.353539e-01 95 3.565829e+01 
 95  1 5.572478e+00 96 4.725759e+02  1 2.283449e-01 96 3.588664e+01 
 96  1 5.440457e+00 97 4.780164e+02  1 2.285159e-01 97 3.611515e+01 
 97  1 5.518819e+00 98 4.835352e+02  1 2.506199e-01 98 3.636577e+01 
 98  1 5.404769e+00 99 4.889400e+02  1 2.476678e-01 99 3.661344e+01 
 99  1 5.475668e+00 100 4.944156e+02  1 2.266319e-01 100 3.684007e+01 
100  1 5.513758e+00 101 4.999294e+02  1 2.460020e-01 101 3.708607e+01 
101  1 5.610524e+00 102 5.055399e+02  1 2.387431e-01 102 3.732482e+01 
102  1 5.405024e+00 103 5.109449e+02  1 2.253649e-01 103 3.755018e+01 
103  1 5.518812e+00 104 5.164637e+02  1 2.677500e-01 104 3.781793e+01 
104  1 5.462325e+00 105 5.219261e+02  1 2.248571e-01 105 3.804279e+01 
105  1 5.436608e+00 106 5.273627e+02  1 2.774782e-01 106 3.832027e+01 
106  1 5.508145e+00 107 5.328708e+02  1 2.958810e-01 107 3.861615e+01 
107  1 5.588901e+00 108 5.384597e+02  1 2.320640e-01 108 3.884821e+01 
108  1 5.689377e+00 109 5.441491e+02  1 2.656240e-01 109 3.911384e+01 
109  1 5.474853e+00 110 5.496239e+02  1 2.252619e-01 110 3.933910e+01 
110  1 5.653143e+00 111 5.552771e+02  1 2.797451e-01 111 3.961884e+01 
111  1 5.536356e+00 112 5.608134e+02  1 2.227468e-01 112 3.984159e+01 
112  1 5.587890e+00 113 5.664013e+02  1 2.234890e-01 113 4.006508e+01 
113  1 5.688457e+00 114 5.720898e+02  1 2.488241e-01 114 4.031390e+01 
114  1 5.700838e+00 115 5.777906e+02  1 2.240620e-01 115 4.053797e+01 
115  1 5.708615e+00 116 5.834992e+02  1 2.485600e-01 116 4.078653e+01 
116  1 5.674905e+00 117 5.891742e+02  1 2.243948e-01 117 4.101092e+01 
117  1 5.529355e+00 118 5.947035e+02  1 2.239769e-01 118 4.123490e+01 
118  1 5.628012e+00 119 6.003315e+02  1 2.554309e-01 119 4.149033e+01 
119  1 5.650926e+00 120 6.059824e+02  1 2.508759e-01 120 4.174120e+01 
120  1 5.580757e+00 121 6.115632e+02  1 2.661400e-01 121 4.200734e+01 
121  1 5.631904e+00 122 6.171951e+02  1 2.414339e-01 122 4.224878e+01 
122  1 5.621900e+00 123 6.228170e+02  1 2.388380e-01 123 4.248762e+01 
123  1 5.504350e+00 124 6.283214e+02  1 2.265542e-01 124 4.271417e+01 
124  1 5.811149e+00 125 6.341325e+02  1 2.532558e-01 125 4.296743e+01 
125  1 5.620711e+00 126 6.397532e+02  1 2.233069e-01 126 4.319073e+01 
126  1 5.584337e+00 127 6.453376e+02  1 2.503550e-01 127 4.344109e+01 
127  1 5.701718e+00 128 6.510393e+02  1 2.343659e-01 128 4.367545e+01 
128  1 5.545998e+00 129 6.565853e+02  1 2.681351e-01 129 4.394359e+01 
129  1 5.571695e+00 130 6.621570e+02  1 2.262530e-01 130 4.416984e+01 
130  1 5.578408e+00 131 6.677354e+02  1 2.786760e-01 131 4.444852e+01 
131  1 5.620593e+00 132 6.733560e+02  1 2.452810e-01 132 4.469380e+01 
132  1 5.638643e+00 133 6.789946e+02  1 2.416310e-01 133 4.493543e+01 
133  1 5.650893e+00 134 6.846455e+02  1 2.582581e-01 134 4.519369e+01 
134  1 5.550611e+00 135 6.901961e+02  1 2.389510e-01 135 4.543264e+01 
135  1 5.622102e+00 136 6.958182e+02  1 2.492120e-01 136 4.568185e+01 
136  1 5.676206e+00 137 7.014944e+02  1 2.414849e-01 137 4.592334e+01 
137  1 5.610455e+00 138 7.071049e+02  1 2.700949e-01 138 4.619343e+01 
138  1 5.621289e+00 139 7.127262e+02  1 2.210898e-01 139 4.641452e+01 
139  1 5.488442e+00 140 7.182146e+02  1 2.565131e-01 140 4.667103e+01 
140  1 5.708968e+00 141 7.239236e+02  1 2.392871e-01 141 4.691032e+01 
141  1 5.591759e+00 142 7.295153e+02  1 2.414992e-01 142 4.715182e+01 
142  1 5.760844e+00 143 7.352762e+02  1 2.294989e-01 143 4.738132e+01 
143  1 5.659890e+00 144 7.409361e+02  1 2.374930e-01 144 4.761881e+01 
144  1 5.514114e+00 145 7.464502e+02  1 2.963600e-01 145 4.791517e+01 
145  1 5.453116e+00 146 7.519033e+02  1 2.627389e-01 146 4.817791e+01 
146  1 5.627817e+00 147 7.575311e+02  1 2.743709e-01 147 4.845228e+01 
147  1 5.373820e+00 148 7.629049e+02  1 2.300410e-01 148 4.868232e+01 
148  1 5.754143e+00 149 7.686591e+02  1 2.224371e-01 149 4.890476e+01 
149  1 5.567784e+00 150 7.742269e+02  1 2.218158e-01 150 4.912658e+01 
150  1 5.455928e+00 151 7.796828e+02  1 2.398150e-01 151 4.936639e+01 
151  1 5.586177e+00 152 7.852690e+02  1 2.228172e-01 152 4.958921e+01 
152  1 5.526958e+00 153 7.907959e+02  1 2.604570e-01 153 4.984967e+01 
153  1 5.395333e+00 154 7.961913e+02  1 2.223799e-01 154 5.007205e+01 
154  1 5.549789e+00 155 8.017410e+02  1 2.209551e-01 155 5.029300e+01 
155  1 5.616863e+00 156 8.073579e+02  1 2.948418e-01 156 5.058784e+01 
156  1 5.653318e+00 157 8.130112e+02  1 2.208860e-01 157 5.080873e+01 
157  1 5.412165e+00 158 8.184234e+02  1 2.490740e-01 158 5.105780e+01 
158  1 5.616484e+00 159 8.240399e+02  1 2.388010e-01 159 5.129660e+01 
159  1 5.588170e+00 160 8.296280e+02  1 2.308869e-01 160 5.152749e+01 
160  1 5.585549e+00 161 8.352136e+02  1 3.006349e-01 161 5.182813e+01 
161  1 5.580703e+00 162 8.407943e+02  1 2.240829e-01 162 5.205221e+01 
162  1 5.705814e+00 163 8.465001e+02  1 2.704849e-01 163 5.232269e+01 
163  1 5.558895e+00 164 8.520590e+02  1 2.314851e-01 164 5.255418e+01 
164  1 5.444245e+00 165 8.575033e+02  1 2.249520e-01 165 5.277913e+01 
165  1 5.579377e+00 166 8.630826e+02  1 2.433851e-01 166 5.302252e+01 
166  1 5.468184e+00 167 8.685508e+02  1 2.235460e-01 167 5.324606e+01 
167  1 5.593099e+00 168 8.741439e+02  1 2.593369e-01 168 5.350540e+01 
168  1 5.744165e+00 169 8.798881e+02  1 2.707400e-01 169 5.377614e+01 
169  1 5.657551e+00 170 8.855456e+02  1 2.422199e-01 170 5.401836e+01 
170  1 5.778469e+00 171 8.913241e+02  1 2.461421e-01 171 5.426450e+01 
171  1 5.741403e+00 172 8.970655e+02  1 2.337830e-01 172 5.449828e+01 
172  1 5.714983e+00 173 9.027805e+02  1 2.243340e-01 173 5.472262e+01 
173  1 5.528666e+00 174 9.083092e+02  1 2.539210e-01 174 5.497654e+01 
174  1 5.835161e+00 175 9.141443e+02  1 2.315540e-01 175 5.520809e+01 
175  1 5.762649e+00 176 9.199070e+02  1 2.370360e-01 176 5.544513e+01 
176  1 5.628013e+00 177 9.255350e+02  1 2.526090e-01 177 5.569774e+01 
177  1 5.410107e+00 178 9.309451e+02  1 2.526660e-01 178 5.595040e+01 
178  1 5.448009e+00 179 9.363931e+02  1 2.587421e-01 179 5.620915e+01 
179  1 5.373213e+00 180 9.417663e+02  1 2.602110e-01 180 5.646936e+01 
180  1 5.469020e+00 181 9.472353e+02  1 2.245939e-01 181 5.669395e+01 
181  1 5.672227e+00 182 9.529075e+02  1 2.497699e-01 182 5.694372e+01 
182  1 5.556515e+00 183 9.584641e+02  1 2.394569e-01 183 5.718318e+01 
183  1 5.370714e+00 184 9.638348e+02  1 2.579160e-01 184 5.744109e+01 
184  1 5.437933e+00 185 9.692727e+02  1 2.266440e-01 185 5.766774e+01 
185  1 5.515956e+00 186 9.747887e+02  1 2.246962e-01 186 5.789243e+01 
186  1 5.620481e+00 187 9.804091e+02  1 2.266641e-01 187 5.811910e+01 
187  1 5.578910e+00 188 9.859881e+02  1 2.491851e-01 188 5.836828e+01 
188  1 5.573600e+00 189 9.915617e+02  1 2.613330e-01 189 5.862962e+01 
189  1 5.579027e+00 190 9.971407e+02  1 2.454388e-01 190 5.887505e+01 
190  1 5.667753e+00 191 1.002808e+03  1 2.599232e-01 191 5.913498e+01 
191  1 5.378628e+00 192 1.008187e+03  1 2.738962e-01 192 5.940887e+01 
192  1 5.433952e+00 193 1.013621e+03  1 2.325921e-01 193 5.964147e+01 
193  1 5.528459e+00 194 1.019149e+03  1 2.348869e-01 194 5.987635e+01 
194  1 5.587810e+00 195 1.024737e+03  1 2.366979e-01 195 6.011305e+01 
195  1 5.381313e+00 196 1.030119e+03  1 2.412851e-01 196 6.035434e+01 
196  1 5.478208e+00 197 1.035597e+03  1 2.398920e-01 197 6.059423e+01 
197  1 5.464048e+00 198 1.041061e+03  1 3.094499e-01 198 6.090368e+01 
198  1 5.364242e+00 199 1.046425e+03  1 2.286408e-01 199 6.113232e+01 
199  1 5.552521e+00 200 1.051978e+03  1 2.584560e-01 200 6.139077e+01 
200  1 5.447441e+00 201 1.057425e+03  1 2.297041e-01 201 6.162048e+01 
201  1 5.259996e+00 202 1.062685e+03  1 2.278659e-01 202 6.184834e+01 
202  1 5.503694e+00 203 1.068189e+03  1 2.381310e-01 203 6.208648e+01 
203  1 5.685079e+00 204 1.073874e+03  1 2.500241e-01 204 6.233650e+01 
204  1 5.563149e+00 205 1.079437e+03  1 2.386580e-01 205 6.257516e+01 
205  1 5.455635e+00 206 1.084893e+03  1 2.299209e-01 206 6.280508e+01 
206  1 5.491680e+00 207 1.090384e+03  1 2.469311e-01 207 6.305201e+01 
207  1 5.425962e+00 208 1.095810e+03  1 2.706709e-01 208 6.332268e+01 
208  1 5.504409e+00 209 1.101315e+03  1 2.296319e-01 209 6.355231e+01 
209  1 5.471711e+00 210 1.106786e+03  1 2.459891e-01 210 6.379830e+01 
210  1 5.375265e+00 211 1.112162e+03  1 2.303691e-01 211 6.402867e+01 
211  1 5.596124e+00 212 1.117758e+03  1 2.568560e-01 212 6.428553e+01 
212  1 5.527391e+00 213 1.123285e+03  1 2.309868e-01 213 6.451651e+01 
213  1 5.624040e+00 214 1.128909e+03  1 2.642820e-01 214 6.478080e+01 
214  1 5.517983e+00 215 1.134427e+03  1 2.585790e-01 215 6.503937e+01 
215  1 5.631032e+00 216 1.140058e+03  1 3.106310e-01 216 6.535001e+01 
216  1 5.665131e+00 217 1.145723e+03  1 2.316298e-01 217 6.558164e+01 
217  1 5.731047e+00 218 1.151454e+03  1 2.639382e-01 218 6.584557e+01 
218  1 5.589898e+00 219 1.157044e+03  1 2.525380e-01 219 6.609811e+01 
219  1 5.483432e+00 220 1.162528e+03  1 2.542191e-01 220 6.635233e+01 
220  1 5.539389e+00 221 1.168067e+03  1 2.304759e-01 221 6.658281e+01 
221  1 5.632798e+00 222 1.173700e+03  1 2.413740e-01 222 6.682418e+01 
222  1 5.434163e+00 223 1.179134e+03  1 2.509160e-01 223 6.707510e+01 
223  1 5.550947e+00 224 1.184685e+03  1 2.502160e-01 224 6.732531e+01 
224  1 5.568668e+00 225 1.190254e+03  1 2.635961e-01 225 6.758891e+01 
225  1 5.465801e+00 226 1.195719e+03  1 2.553959e-01 226 6.784430e+01 
226  1 5.516986e+00 227 1.201236e+03  1 2.415318e-01 227 6.808584e+01 
227  1 5.434812e+00 228 1.206671e+03  1 2.310119e-01 228 6.831685e+01 
228  1 5.440933e+00 229 1.212112e+03  1 2.317948e-01 229 6.854864e+01 
229  1 5.378582e+00 230 1.217491e+03  1 2.323549e-01 230 6.878100e+01 
230  1 5.407469e+00 231 1.222898e+03  1 2.300608e-01 231 6.901106e+01 
231  1 5.563413e+00 232 1.228462e+03  1 2.514811e-01 232 6.926254e+01 
232  1 5.746908e+00 233 1.234209e+03  1 3.021760e-01 233 6.956472e+01 
233  1 5.638535e+00 234 1.239847e+03  1 2.850440e-01 234 6.984976e+01 
234  1 5.539063e+00 235 1.245386e+03  1 2.409649e-01 235 7.009072e+01 
235  1 5.667044e+00 236 1.251053e+03  1 2.364731e-01 236 7.032720e+01 
236  1 5.524704e+00 237 1.256578e+03  1 2.327569e-01 237 7.055995e+01 
237  1 5.405376e+00 238 1.261983e+03  1 2.725949e-01 238 7.083255e+01 
238  1 5.314538e+00 239 1.267298e+03  1 2.317121e-01 239 7.106426e+01 
239  1 5.525037e+00 240 1.272823e+03  1 2.769341e-01 240 7.134120e+01 
240  1 5.753234e+00 241 1.278576e+03  1 2.521231e-01 241 7.159332e+01 
241  1 5.479738e+00 242 1.284056e+03  1 2.581401e-01 242 7.185146e+01 
242  1 5.246201e+00 243 1.289302e+03  1 2.724872e-01 243 7.212395e+01 
243  1 5.447194e+00 244 1.294749e+03  1 2.436831e-01 244 7.236763e+01 
244  1 5.646401e+00 245 1.300396e+03  1 2.641971e-01 245 7.263183e+01 
245  1 5.560750e+00 246 1.305956e+03  1 2.304950e-01 246 7.286232e+01 
246  1 5.280969e+00 247 1.311237e+03  1 2.301660e-01 247 7.309249e+01 
247  1 5.563963e+00 248 1.316801e+03  1 2.775309e-01 248 7.337002e+01 
248  1 5.579711e+00 249 1.322381e+03  1 2.481031e-01 249 7.361812e+01 
249  1 5.621675e+00 250 1.328003e+03  1 2.802160e-01 250 7.389834e+01 
250  1 5.762541e+00 251 1.333765e+03  1 2.461159e-01 251 7.414445e+01 
251  1 5.534985e+00 252 1.339300e+03  1 2.488239e-01 252 7.439328e+01 
252  1 5.562997e+00 253 1.344863e+03  1 2.837939e-01 253 7.467707e+01 
253  1 5.573250e+00 254 1.350436e+03  1 2.456689e-01 254 7.492274e+01 
254  1 5.625041e+00 255 1.356062e+03  1 2.532201e-01 255 7.517596e+01 
255  1 5.686672e+00 256 1.361748e+03  1 2.702901e-01 256 7.544625e+01 
